1006010059,,,,,,,,,,,,,,,,
Date,Sensor1 (S1),Sensor2 (S2),Sensor Temperature1 (S1),Sensor Temperature2 (S2),Level (AI_1),Level (AI_2),Level (AI_3),Level (AI_4),Level (AI_6),FlowMeter Rate (AI_5),FlowMeter Rate (AI_8),FlowMeter Total (AI_5),FlowMeter Total (AI_8),FlowMeter Rate (DI_B),FlowMeter Total (DI_A),FlowMeter Total (DI_B)
,Boiler 1 Cond.,Boiler 2 Cond.,Boiler 1 Cond.,Boiler 2 Cond.,PP3060M,WT3462,WT3516,WT3730,AF1025,Blr 1 FW,Blr 2 FW,Blr 1 FW,Blr 2 FW,Combined Boiler,Boiler Make Up,Combined Boiler
,µS,µS,F,F,Gallons,Gallons,Gallons,Gallons,Gallons,gal/min.,gal/min.,gal,gal,GPM,Gallons,Gallons
11/10/2011 9:08,1592.31,2038.92,111,249,47,53,58,139,63,2.71,21.74,1685.67,7696.47,0,200,20635.29
11/10/2011 9:18,1592.31,2032.22,111,248,47,53,58,139,63,2.53,3.96,1709.75,7786.92,0,200,20930.68
11/10/2011 9:28,1592.31,2016.06,111,248,47,53,58,139,63,2.62,8.76,1735.75,7894.03,0,200,21249.07
11/10/2011 9:38,1592.31,2007.34,115,247,47,53,58,139,63,2.62,10.72,1761.87,8008.79,0,200,21567.68
11/10/2011 9:48,1592.31,2017.15,115,247,47,53,58,139,63,2.62,4.13,1787.97,8132.96,32.78,200,21890.71
11/10/2011 9:58,1592.31,2023.14,115,245,47,53,58,139,63,2.71,18.9,1813.79,8247.43,0,200,22205.19
11/10/2011 10:08,1592.31,2016.63,115,244,47,53,58,139,63,2.62,14.01,1839.57,8377.02,0,300,22520.62
11/10/2011 10:18,1592.31,2014.89,114,244,47,53,58,139,63,2.62,38.28,1865.43,8482.43,0,300,22832.76
11/10/2011 10:28,1592.31,2020.6,113,242,47,53,58,139,63,2.62,3.96,1891.23,8587.78,0,300,23148.21
11/10/2011 10:38,1592.31,2015.14,115,242,47,53,58,139,63,2.62,4.49,1917.05,8710.12,0,300,23465.72
11/10/2011 10:48,1592.31,2019.41,115,240,47,53,58,139,63,2.71,24.68,1942.73,8836.71,0,300,23786.41
11/10/2011 10:58,1592.31,1935.29,115,248,47,53,58,139,63,2.62,15.16,1968.51,8959.88,31.68,400,24106
11/10/2011 11:08,1592.31,1894.11,115,254,47,53,58,139,63,2.45,20.76,1994.28,9082.47,38.53,400,24422.42
11/10/2011 11:18,1592.31,1892.75,113,254,47,53,58,139,63,2.62,14.36,2020.05,9193.97,35.23,400,24736.52
11/10/2011 11:28,1592.31,1893.04,111,253,47,53,58,139,63,2.53,4.85,2045.79,9325.57,0,400,25057.34
11/10/2011 11:38,1592.31,1890.54,111,252,47,53,58,139,63,2.62,4.76,2071.63,9484.47,32.53,500,25380.99
11/10/2011 11:48,1592.31,1885.02,110,252,47,53,58,139,63,2.62,5.2,2097.34,9613,0,500,25704.88
11/10/2011 11:58,1592.31,1883.57,110,251,47,53,58,139,63,2.62,15.34,2123.04,9743.94,32.53,500,26027.68
11/10/2011 12:08,1592.31,1884.13,110,250,47,53,58,139,63,2.45,4.76,2148.68,9847.92,0,500,26341.68
11/10/2011 12:18,1592.31,1878.35,110,249,47,53,58,139,63,2.62,18.45,2174.43,9939.12,0,500,26647.48
11/10/2011 12:28,1592.31,1870.99,110,248,47,53,58,139,63,2.71,3.96,2200.14,10052.86,0,500,26961.35
11/10/2011 12:38,1592.31,1911.21,109,243,47,53,58,139,63,2.53,3.96,2225.92,10185.49,0,500,27279.84
11/10/2011 12:48,1592.31,1925.61,108,241,47,53,58,139,63,2.62,25.03,2251.43,10331.75,35.96,600,27596.74
11/10/2011 12:58,1592.31,1920.18,108,240,47,53,58,139,63,2.53,4.49,2277.02,10457.16,35.71,600,27919.06
11/10/2011 13:08,1592.31,1906.62,108,241,47,53,58,139,63,2.53,4.85,2302.71,10600.3,0,600,28239.76
11/10/2011 13:18,1592.31,1907.25,108,240,47,53,58,139,63,2.62,4.31,2328.27,10718.59,33.64,700,28560.72
11/10/2011 13:28,1592.31,1886.98,108,240,47,53,58,139,63,2.62,19.79,2353.45,10833.53,31.68,700,28877.4
11/10/2011 13:38,1592.31,1892.41,108,239,47,53,58,139,63,2.62,40.42,2378.94,10938.51,36.45,700,29194.07
11/10/2011 13:48,1592.31,1884.57,109,239,47,53,58,139,63,2.62,4.31,2404.62,11052.79,32.41,800,29510.61
11/10/2011 13:58,1592.31,1884.11,109,238,47,53,58,139,63,2.62,4.13,2430.22,11173.78,34.74,800,29832.04
11/10/2011 14:08,1592.31,1887.2,108,237,47,53,58,139,63,2.45,3.6,2455.89,11305.98,0,800,30156.53
11/10/2011 14:18,1592.31,1825.45,108,243,47,53,58,139,63,2.62,40.68,2481.52,11469.88,40.36,800,30489.68
11/10/2011 14:28,1592.31,1808.04,109,253,47,53,58,139,63,2.45,13.29,2506.97,11946.13,36.57,800,30958.1
11/10/2011 14:38,1592.31,1773.47,109,274,47,53,58,139,63,2.45,48.33,2532.28,12368.78,43.05,800,31365.72
11/10/2011 14:48,1592.31,1747.59,109,278,47,53,58,139,63,2.45,57.67,2557.45,12885.09,51.86,800,31827.05
11/10/2011 14:58,1592.31,1724.56,110,281,47,53,58,139,63,2.53,61.76,2582.59,13451.05,61.4,800,32333.41
11/10/2011 15:08,1592.31,1700.31,110,283,47,53,58,139,63,2.53,61.94,2607.52,14014.81,53.08,900,32837.31
11/10/2011 15:18,1592.31,1723.35,110,278,47,53,58,139,63,2.71,55.98,2632.67,14587.2,52.96,1000,33351.88
11/10/2011 15:28,1592.31,1798.71,111,264,47,53,58,139,63,2.53,58.38,2658.14,15157.12,43.54,1100,33863.67
11/10/2011 15:38,1592.31,1786.81,111,265,47,53,58,139,63,2.45,63.63,2683.61,15732.57,56.26,1200,34389.75
11/10/2011 15:48,1592.31,1776.23,112,265,47,53,58,139,63,2.53,53.76,2709.2,16300.83,44.64,1300,34906.27
11/10/2011 15:58,1592.31,1772.03,114,264,47,53,58,139,63,2.62,53.05,2734.65,16875.82,55.65,1300,35424.89
11/10/2011 16:08,1592.31,1768.47,118,264,47,53,58,139,63,2.45,57.4,2760.18,17434.28,53.33,1300,35927.58
11/10/2011 16:18,1592.31,1765.56,119,263,47,53,58,139,63,2.53,57.76,2785.46,18004.03,52.1,1400,36442.04
11/10/2011 16:28,1592.31,1766.71,120,262,47,53,58,139,63,2.62,53.13,2811.08,18566.65,55.41,1400,36951.55
11/10/2011 16:38,1592.31,1758.87,120,262,47,53,58,139,63,2.53,55.62,2836.71,19124.35,42.56,1500,37456.09
11/10/2011 16:48,1592.31,1756.09,120,261,47,53,58,139,63,2.45,58.91,2862.04,19690.44,34.49,1500,37971.5
11/10/2011 16:58,1592.31,1750.75,120,260,47,53,57,139,63,2.45,55.89,2887.54,20252.01,45.01,1600,38473.82
11/10/2011 17:08,1592.31,1740.19,120,259,47,53,58,139,63,2.45,50.64,2912.92,20810.21,48.92,1600,38977.03
11/10/2011 17:18,1592.31,1756.97,118,257,47,53,58,139,63,2.71,58.2,2938.58,21394.59,48.92,1700,39506.18
11/10/2011 17:28,1592.31,1746.14,119,257,47,53,58,139,63,2.53,58.03,2964.19,21986.92,53.2,1700,40048.4
11/10/2011 17:38,1592.31,1743.92,120,257,47,53,58,139,63,2.62,53.31,2989.72,22557.26,51.37,1700,40563.15
11/10/2011 17:48,1592.31,1744.34,121,256,47,53,58,139,63,2.71,59.72,3015.3,23062.4,54.55,1800,41023.14
11/10/2011 17:58,1592.31,1734.98,121,255,47,53,58,139,63,2.45,49.84,3040.89,23576.03,41.22,1800,41488.14
11/10/2011 18:08,1592.31,1735,121,254,47,53,58,139,63,2.45,52.69,3066.58,24105.05,48.68,1900,41963.04
11/10/2011 18:18,1592.31,1727.35,121,254,47,53,58,139,63,2.53,56.78,3092.33,24645.92,56.87,1900,42445.8
11/10/2011 18:28,1592.31,1727.62,121,253,47,53,58,139,63,2.53,64.61,3117.99,25215.52,65.8,2000,42969.21
11/10/2011 18:38,1592.31,1728.42,121,252,47,53,58,139,63,2.62,50.73,3143.58,25771.52,39.26,2000,43468.38
11/10/2011 18:48,1592.31,1724.07,121,252,47,53,58,139,63,2.62,55.54,3169.49,26271.43,45.74,2100,43911.63
11/10/2011 18:58,1592.31,1722.42,121,251,47,53,58,139,63,2.45,53.67,3195.75,26798.13,41.71,2300,44386.8
