801091147,,,,,,,,,,
Date,Sensor1 (S1),Sensor2 (S2),Level (AI_1),Level (AI_2),Level (AI_4),Level (AI_5),FlowMeter Total (DI_1),FlowMeter Total (DI_2),FlowMeter Total (DI_3),FlowMeter Total (DI_4)
,Blr1 TDS,Blr 2 TDS,WT-3459,WT-3730,WT-3516,PP-3060M,Blr 1 FW Meter,Blr 2 FW Meter,RO Make Up,Boiler Make Up
,µS,µS,Gallons,Gallons,Gallons,Gallons,Gallons,Gallons,Gallons,Gallons
11/9/2011 12:58,1090.89,958.17,117,146,113,141,122099552,93905496,13339685,9937718
11/9/2011 13:08,945.57,942.27,117,145,113,141,122100096,93905696,13339854,9937838
11/9/2011 13:18,945.57,942.27,117,146,113,141,122100664,93905880,13339854,9937914
11/9/2011 13:28,945.57,942.27,117,146,113,141,122101240,93906024,13339854,9937974
11/9/2011 13:38,945.57,942.27,117,146,113,141,122101808,93906112,13339854,9937982
11/9/2011 13:48,945.57,942.27,117,146,113,141,122102360,93906224,13339854,9938033
11/9/2011 13:58,945.57,942.27,117,146,113,141,122102928,93906376,13339854,9938106
11/9/2011 14:08,945.57,942.27,117,146,113,141,122103496,93906504,13339854,9938113
11/9/2011 14:18,945.57,942.27,117,146,113,141,122104056,93906632,13339854,9938118
11/9/2011 14:28,945.57,942.27,117,146,113,141,122104624,93906712,13339854,9938207
11/9/2011 14:38,945.57,942.27,117,146,113,141,122105176,93906840,13339854,9938249
11/9/2011 14:48,945.57,942.27,117,146,113,141,122105744,93906960,13339854,9938249
11/9/2011 14:58,945.57,942.27,117,146,113,141,122106312,93907096,13339905,9938279
11/9/2011 15:08,825.85,952.01,117,146,113,141,122106872,93907200,13340087,9938380
11/9/2011 15:18,506.54,947.99,117,146,113,141,122107480,93907440,13340272,9938561
11/9/2011 15:28,896.8,832.54,117,145,113,141,122108088,93907616,13340460,9938699
11/9/2011 15:38,896.8,832.54,117,145,113,141,122108664,93907744,13340646,9938747
11/9/2011 15:48,896.8,832.54,117,146,113,141,122109216,93907824,13340832,9938819
11/9/2011 15:58,896.8,832.54,117,145,113,141,122109776,93907968,13341018,9938844
11/9/2011 16:08,896.8,832.54,117,146,113,141,122110336,93908120,13341159,9938846
11/9/2011 16:18,896.8,832.54,117,145,113,141,122110896,93908272,13341161,9938868
11/9/2011 16:28,896.8,832.54,117,145,113,141,122111512,93908680,13341161,9938917
11/9/2011 16:38,896.8,832.54,117,145,113,141,122112328,93909368,13341161,9938955
11/9/2011 16:48,896.8,832.54,117,145,113,141,122113192,93910080,13341161,9938992
11/9/2011 16:58,896.8,832.54,117,145,113,141,122114032,93910808,13341161,9939029
11/9/2011 17:08,896.8,832.54,117,145,113,140,122114880,93911512,13341161,9939067
11/9/2011 17:18,896.8,832.54,117,145,113,141,122115736,93912216,13341315,9939229
11/9/2011 17:28,480.67,878.51,117,145,113,141,122116600,93912936,13341532,9939342
11/9/2011 17:38,944.57,878.51,117,145,113,141,122117464,93913632,13341747,9939483
11/9/2011 17:48,944.57,878.51,117,145,113,141,122118296,93914328,13341800,9939659
11/9/2011 17:58,944.57,878.51,117,145,113,141,122119056,93914960,13341800,9939748
11/9/2011 18:08,944.57,878.51,117,145,113,141,122119816,93915600,13341911,9939767
11/9/2011 18:18,944.57,878.51,117,145,113,141,122120600,93916256,13342079,9939767
11/9/2011 18:28,944.57,878.51,117,145,113,141,122121456,93916992,13342082,9939767
11/9/2011 18:38,944.57,878.51,117,145,113,140,122122304,93917704,13342082,9939767
11/9/2011 18:48,944.57,878.51,117,145,113,141,122123160,93918432,13342082,9939838
11/9/2011 18:58,944.57,878.51,117,145,113,140,122124000,93919152,13342082,9939889
11/9/2011 19:08,944.57,878.51,117,145,113,141,122124824,93919872,13342082,9939993
11/9/2011 19:18,944.57,878.51,117,145,113,141,122125640,93920584,13342082,9939994
11/9/2011 19:28,944.57,911.23,117,145,113,141,122126480,93921328,13342082,9939994
11/9/2011 19:38,476.89,911.23,117,145,113,141,122127344,93922040,13342267,9940085
11/9/2011 19:48,944.06,911.23,117,145,113,141,122128208,93922744,13342485,9940230
11/9/2011 19:58,944.06,911.23,117,145,113,141,122128992,93923440,13342704,9940291
11/9/2011 20:08,944.06,911.23,117,145,113,141,122129800,93924168,13342773,9940311
11/9/2011 20:18,944.06,911.23,117,145,113,140,122130624,93924904,13342773,9940396
11/9/2011 20:28,944.06,911.23,117,145,113,141,122131456,93925648,13342773,9940412
11/9/2011 20:38,944.06,911.23,117,145,113,141,122132264,93926344,13342773,9940552
11/9/2011 20:48,944.06,911.23,117,145,113,141,122133064,93927040,13342775,9940652
11/9/2011 20:58,944.06,911.23,117,145,113,141,122133864,93927736,13342957,9940695
11/9/2011 21:08,944.06,911.23,117,145,113,141,122134664,93928448,13343141,9940698
11/9/2011 21:18,944.06,911.23,117,145,113,141,122135464,93929136,13343322,9940879
11/9/2011 21:28,944.06,911.23,117,145,113,140,122136272,93929848,13343501,9941033
11/9/2011 21:38,944.06,875.31,117,145,113,140,122137104,93930592,13343585,9941048
11/9/2011 21:48,1054.12,875.31,117,145,113,140,122137952,93931336,13343585,9941048
11/9/2011 21:58,693.89,875.31,117,145,113,140,122138832,93932072,13343585,9941204
11/9/2011 22:08,967.8,875.31,117,145,113,140,122139736,93932840,13343585,9941224
11/9/2011 22:18,936.2,875.31,117,145,113,140,122140616,93933608,13343585,9941325
11/9/2011 22:28,936.2,875.31,117,145,113,140,122141456,93934344,13343585,9941362
11/9/2011 22:38,936.2,875.31,117,145,113,140,122142272,93935072,13343683,9941484
11/9/2011 22:48,936.2,875.31,117,145,113,140,122143120,93935824,13343848,9941487
11/9/2011 22:58,936.2,875.31,117,145,113,140,122143944,93936552,13344011,9941541
11/9/2011 23:08,936.2,875.31,117,145,113,140,122144776,93937288,13344190,9941566
11/9/2011 23:18,936.2,875.31,117,145,113,140,122145608,93938008,13344215,9941581
11/9/2011 23:28,936.2,875.31,117,145,113,140,122146448,93938768,13344215,9941618
11/9/2011 23:38,936.2,907.98,117,145,113,140,122147288,93939496,13344215,9941669
11/9/2011 23:48,936.2,907.98,117,145,113,140,122148112,93940224,13344215,9941752
11/9/2011 23:58,936.2,907.98,117,145,113,140,122148936,93940952,13344215,9941828
11/10/2011 0:08,936.2,907.98,117,145,113,140,122149776,93941704,13344410,9941865
11/10/2011 0:18,676.35,907.98,117,145,113,140,122150632,93942440,13344569,9941966
11/10/2011 0:28,948.75,907.98,117,145,113,140,122151520,93943176,13344569,9942093
11/10/2011 0:38,948.75,907.98,117,145,113,140,122152352,93943904,13344569,9942166
11/10/2011 0:48,948.75,907.98,117,145,113,140,122153192,93944656,13344569,9942262
11/10/2011 0:58,948.75,907.98,117,145,113,140,122154016,93945384,13344569,9942310
11/10/2011 1:08,948.75,907.98,117,145,113,140,122154856,93946112,13344569,9942348
11/10/2011 1:18,948.75,907.98,117,145,113,140,122155688,93946848,13344569,9942441
11/10/2011 1:28,948.75,907.98,117,145,113,140,122156520,93947592,13344569,9942520
11/10/2011 1:38,948.75,912.21,117,145,113,140,122157352,93948336,13344569,9942583
11/10/2011 1:48,948.75,912.21,117,145,113,140,122158176,93949072,13344569,9942678
11/10/2011 1:58,948.75,912.21,117,145,113,140,122159008,93949808,13344654,9942727
11/10/2011 2:08,948.75,912.21,117,145,113,140,122159848,93950560,13344837,9942801
11/10/2011 2:18,948.75,912.21,117,145,113,140,122160680,93951296,13345017,9942851
11/10/2011 2:28,763.29,912.21,117,145,113,140,122161512,93952008,13345197,9942908
11/10/2011 2:38,473.88,912.21,117,145,113,140,122162400,93952776,13345378,9943095
11/10/2011 2:48,472.38,912.21,117,145,113,140,122163296,93953520,13345559,9943213
11/10/2011 2:58,945.68,912.21,117,145,113,140,122164192,93954240,13345739,9943337
11/10/2011 3:08,945.68,912.21,117,145,113,140,122165032,93954984,13345920,9943451
11/10/2011 3:18,945.68,912.21,117,145,113,140,122165872,93955720,13346025,9943510
11/10/2011 3:28,945.68,912.21,117,145,113,140,122166712,93956488,13346025,9943557
11/10/2011 3:38,945.68,937.45,117,145,113,140,122167560,93957232,13346025,9943592
11/10/2011 3:48,945.68,937.45,117,145,113,140,122168400,93957952,13346025,9943683
11/10/2011 3:58,945.68,937.45,117,145,113,140,122169232,93958720,13346025,9943732
11/10/2011 4:08,945.68,937.45,117,145,113,140,122170080,93959472,13346025,9943740
11/10/2011 4:18,945.68,937.45,117,145,113,140,122170920,93960224,13346025,9943800
11/10/2011 4:28,945.68,937.45,117,145,113,140,122171760,93960952,13346025,9943843
11/10/2011 4:38,945.68,937.45,117,145,113,140,122172616,93961720,13346085,9943869
11/10/2011 4:48,945.68,937.45,117,145,113,140,122173488,93962472,13346304,9943869
11/10/2011 4:58,804.26,937.45,117,145,113,140,122174352,93963248,13346518,9943918
11/10/2011 5:08,804.26,937.45,117,145,113,140,122175232,93964016,13346549,9943956
11/10/2011 5:18,804.26,937.45,117,145,113,140,122176008,93964544,13346549,9944159
11/10/2011 5:28,804.26,937.45,117,145,113,140,122176544,93964896,13346733,9944169
11/10/2011 5:38,804.26,932.49,117,145,113,140,122177080,93965240,13346813,9944169
11/10/2011 5:48,804.26,932.49,117,144,113,140,122177640,93965576,13346813,9944192
11/10/2011 5:58,804.26,932.49,117,144,113,140,122178216,93965920,13346813,9944351
11/10/2011 6:08,804.26,932.49,117,145,113,140,122178776,93966248,13346813,9944489
11/10/2011 6:18,804.26,932.49,117,145,113,140,122179320,93966584,13346813,9944512
11/10/2011 6:28,804.26,932.49,117,145,113,140,122179880,93966920,13346813,9944581
11/10/2011 6:38,804.26,932.49,117,145,113,140,122180440,93967248,13346813,9944621
11/10/2011 6:48,804.26,932.49,117,145,113,140,122181016,93967576,13346963,9944673
11/10/2011 6:58,1316.64,932.49,117,144,113,140,122181600,93967912,13347146,9944782
11/10/2011 7:08,488.93,932.49,117,145,113,140,122182232,93968240,13347325,9944929
11/10/2011 7:18,939.98,932.49,117,144,113,140,122182848,93968584,13347503,9945066
11/10/2011 7:28,939.98,932.49,117,145,113,140,122183432,93968928,13347682,9945124
11/10/2011 7:38,939.98,944.16,117,145,113,140,122184008,93969280,13347860,9945181
11/10/2011 7:48,939.98,944.16,117,145,113,140,122184608,93969648,13347866,9945247
11/10/2011 7:58,939.98,944.16,117,145,113,140,122185192,93970000,13347866,9945329
11/10/2011 8:08,939.98,944.16,117,144,113,140,122185776,93970352,13347866,9945385
11/10/2011 8:18,939.98,944.16,117,144,113,140,122186368,93970712,13347866,9945429
11/10/2011 8:28,939.98,944.16,117,144,113,140,122186952,93971072,13347866,9945533
11/10/2011 8:38,939.98,944.16,117,145,113,140,122187552,93971424,13347866,9945599
11/10/2011 8:48,939.98,944.16,117,145,113,140,122188160,93971784,13347866,9945667
11/10/2011 8:58,939.98,944.16,117,144,113,140,122188752,93972144,13347866,9945771
11/10/2011 9:08,939.98,944.16,117,145,113,140,122189328,93972512,13347866,9945838
11/10/2011 9:18,616.53,944.16,117,144,113,140,122189952,93972888,13347866,9945995
11/10/2011 9:28,594.53,944.16,117,145,113,140,122190608,93973264,13347952,9946112
11/10/2011 9:38,977.4,1035.62,117,145,113,140,122191256,93973648,13348170,9946260
11/10/2011 9:48,889.26,947.09,117,145,113,140,122191904,93974040,13348386,9946448
11/10/2011 9:58,966.76,947.09,117,145,113,140,122192576,93974440,13348603,9946588
11/10/2011 10:08,796.26,947.09,117,144,113,140,122193240,93974832,13348819,9946807
11/10/2011 10:18,663.24,947.09,117,145,113,140,122193896,93975184,13349034,9946950
11/10/2011 10:28,946.94,947.09,117,144,113,140,122194528,93975536,13349251,9947111
11/10/2011 10:38,946.94,947.09,117,144,113,140,122195128,93975896,13349466,9947153
11/10/2011 10:48,946.94,947.09,117,145,113,140,122195736,93976256,13349681,9947170
11/10/2011 10:58,946.94,947.09,117,145,113,140,122196328,93976624,13349788,9947221
11/10/2011 11:08,946.94,947.09,117,144,113,140,122196912,93976976,13349788,9947301
11/10/2011 11:18,946.94,947.09,117,145,113,140,122197512,93977336,13349788,9947349
11/10/2011 11:28,946.94,947.09,117,145,113,140,122198120,93977704,13349788,9947398
11/10/2011 11:38,946.94,947.09,117,145,113,140,122198728,93978064,13349788,9947484
11/10/2011 11:48,946.94,939.57,117,145,113,140,122199320,93978464,13349823,9947573
11/10/2011 11:58,946.94,939.57,117,145,113,140,122199920,93978840,13350007,9947663
11/10/2011 12:08,946.94,939.57,117,145,113,140,122200512,93979224,13350186,9947663
11/10/2011 12:18,946.94,939.57,117,145,113,140,122201120,93979568,13350363,9947790
11/10/2011 12:28,804.42,939.57,117,145,113,140,122201712,93979880,13350482,9947871
11/10/2011 12:38,969.63,939.57,117,144,113,140,122202336,93980216,13350482,9948022
11/10/2011 12:48,967.67,939.57,117,145,113,139,122202968,93980544,13350482,9948198
11/10/2011 12:58,947.44,939.57,117,144,113,139,122203600,93980856,13350482,9948354
11/10/2011 13:08,947.44,939.57,117,144,113,139,122204200,93981176,13350482,9948473
11/10/2011 13:18,947.44,939.57,117,145,113,139,122204768,93981488,13350482,9948560
