Date,Sensor1 (S1),Sensor2 (S2),Sensor3 (S3),Sensor Temperature1 (S1),Sensor Temperature2 (S2),Sensor Temperature3 (S3),Generic(AI_5),Level(AI_1),Level(AI_2),Level(AI_3),Level(AI_4),Level(AI_6),Level(AI_7),Level(AI_8),Paddlewheel FlowMeter Rate(DI_A),Paddlewheel FlowMeter Rate(DI_B),Paddlewheel FlowMeter Total(DI_A),Paddlewheel FlowMeter Total(DI_B)
,Tower Cond,Tower pH,Tower ORP,Tower Cond,Tower pH,Tower ORP,Turbidity,WT-5220H,WT-3872,Sodium Chlorite,Bulk Chlorine,Bisulfite,WT-5753,WT-5213,Tower MU,Tower BD,Tower MU,Tower BD
,µS,pH,mV,F,F,F,NTU,Gallons,Gallons,Gallons,Gallons,Gallons,Gallons,Gallons,GPM,GPM,Gallons,Gallons
10/30/2011 12:53,2240.44,8.56,437.7,76,72,77,13.63,104,45,153,273,58,114,279,0,117.81,145364000,36047788
10/30/2011 13:13,2235.27,8.49,395.1,75,71,77,13.72,104,45,154,275,117,115,279,426.78,115.49,145368864,36050236
10/30/2011 13:33,2192.92,8.55,365.98,75,71,77,13.41,104,45,153,269,58,115,279,424.86,0,145378528,36052284
10/30/2011 13:53,2158.76,8.58,344.28,76,72,77,13.05,104,45,153,274,57,114,278,432.56,0,145388224,36052284
10/30/2011 14:13,2174.69,8.56,333.47,76,73,77,13.14,103,45,153,275,58,114,279,0,0,145392256,36052284
10/30/2011 14:33,2207.77,8.5,328.56,76,73,77,13.41,104,45,153,272,58,114,278,0,97.23,145392256,36052792
10/30/2011 14:53,2230.84,8.57,313.44,76,72,77,13.72,104,45,152,270,57,114,278,0,117.77,145392256,36055276
10/30/2011 15:13,2251.64,8.57,304.7,76,72,77,14.07,103,45,153,271,57,114,278,432.76,127.01,145393232,36057752
10/30/2011 15:33,2211.93,8.47,303.8,75,71,77,13.67,103,45,152,270,57,114,278,391.52,98.37,145402880,36060168
10/30/2011 15:53,2187.04,8.54,292.39,76,72,77,13.41,104,45,152,272,57,114,278,417.34,0,145412560,36062184
10/30/2011 16:13,2151.33,8.57,282.21,76,72,77,13.09,103,45,153,270,57,114,278,415.61,0,145422208,36062184
10/30/2011 16:33,2159.68,8.58,273.79,76,73,77,13.09,103,45,152,274,57,114,278,0,0,145427120,36062184
10/30/2011 16:53,2197.54,8.52,271.03,76,72,77,13.49,103,45,153,273,57,114,278,0,0,145427120,36062184
10/30/2011 17:13,2221.34,8.56,263.83,76,72,77,13.41,103,45,152,278,57,114,278,0,125.21,145427120,36064352
10/30/2011 17:33,2247.69,8.6,254,76,72,77,14.03,104,45,152,279,57,113,278,0,115.53,145427120,36066844
10/30/2011 17:53,2211.3,8.5,250.78,75,71,77,13.67,104,45,152,274,56,113,278,411.95,122.72,145436704,36069260
10/30/2011 18:13,2172.58,8.56,241.25,76,72,77,13.18,103,44,152,275,56,113,278,434.49,0,145446400,36070276
10/30/2011 18:33,2138.8,8.59,233.97,76,73,77,12.87,103,44,152,278,57,113,278,0,0,145455648,36070276
10/30/2011 18:53,2185.88,8.54,234.39,76,73,77,13.18,103,44,152,278,56,113,278,0,0,145455648,36070276
10/30/2011 19:13,2216.5,8.52,232.47,76,72,77,13.45,103,44,152,276,56,113,278,0,123.48,145455648,36071756
10/30/2011 19:33,2240.68,8.58,224.94,75,71,77,13.58,104,44,152,273,56,113,278,428.9,139.87,145456128,36074244
10/30/2011 19:53,2188.72,8.57,221.68,75,71,77,13.36,103,44,152,275,56,113,278,432.56,0,145465856,36076392
10/30/2011 20:13,2177.35,8.52,731.38,76,72,77,13.18,101,44,150,273,56,113,276,417.34,0,145475520,36076392
10/30/2011 20:33,2170.77,8.53,599.2,76,73,77,13.36,100,44,149,278,56,113,275,0,0,145482320,36076392
10/30/2011 20:53,2194.51,8.56,435.22,76,72,77,13.67,100,44,149,274,56,112,276,0,0,145482320,36076392
10/30/2011 21:13,2217.95,8.58,383.62,76,71,77,13.94,99,44,149,277,56,112,275,0,109.85,145482320,36078308
10/30/2011 21:33,2254.07,8.53,365.54,75,71,77,14.3,100,44,149,272,56,113,276,0,120.95,145482320,36080800
10/30/2011 21:53,2221.04,8.49,356.21,75,71,77,14.38,99,44,149,274,56,113,276,421,124.31,145490224,36083236
10/30/2011 22:13,2178.09,8.52,341.02,75,71,77,13.67,100,44,149,280,56,113,276,421,0,145499952,36085080
10/30/2011 22:33,2153.37,8.55,327.48,76,73,77,13.67,100,44,149,274,56,113,276,383.43,0,145509632,36085080
10/30/2011 22:53,2175.59,8.59,314.82,77,73,77,13.63,100,44,149,275,117,113,275,0,0,145510544,36085080
10/30/2011 23:13,2207.63,8.56,309.54,76,72,77,13.98,100,44,149,278,117,112,275,0,108.51,145510544,36085820
10/30/2011 23:33,2242.84,8.5,306.89,76,71,77,14.3,99,44,148,277,114,112,276,0,117.81,145510544,36088296
10/30/2011 23:53,2222.3,8.54,296.88,75,71,77,14.34,100,44,149,277,117,113,275,426.78,124.31,145515088,36090752
10/31/2011 0:13,2189.93,8.56,289.45,76,72,77,14.03,100,44,149,278,55,112,276,391.52,0,145524688,36092724
