0910161570
Date,Sensor1 (S1),Sensor2 (S2),Sensor4 (S4),Sensor Temperature1 (S1),Sensor Temperature2 (S2),Sensor Temperature4 (S4),Level (AI_1),Level (AI_2),Level (AI_3),FlowMeter Total (DI_1),FlowMeter Total (DI_2),FlowMeter Total (DI_3)
,Boiler 1 Cond.,Boiler 2 Cond.,Chill Conductiv,Boiler 1 Cond.,Boiler 2 Cond.,Chill Conductiv,WT-3462,PP-3060,WT-3516,Boiler Feedwate,Boiler Makeup,Chilled Makeup
,µS,µS,µS,F,F,F,Gallons,Gallons,Gallons,Gallons,Gallons,Gallons
11/01/2011 00:02:01,  2181.59, 2182.28, 1501.51, 265, 286,  53,      51,      71,      52,    304880.00,     25100.00,       100.00,
11/01/2011 00:12:01,  2181.59, 2182.28, 1502.57, 265, 286,  53,      51,      71,      52,    304930.00,     25100.00,       100.00,
11/01/2011 00:22:01,  2181.59, 2182.28, 1501.26, 265, 286,  53,      51,      71,      52,    304970.00,     25100.00,       100.00,
11/01/2011 00:32:01,  2181.59, 2182.28, 1500.92, 265, 286,  53,      51,      71,      52,    305010.00,     25100.00,       100.00,
11/01/2011 00:42:01,  2181.59, 2182.28, 1503.78, 265, 286,  53,      51,      71,      52,    305050.00,     25100.00,       100.00,
11/01/2011 00:52:01,  2181.59, 2182.28, 1502.63, 265, 286,  53,      51,      71,      52,    305090.00,     25100.00,       100.00,
11/01/2011 01:02:01,  2181.59, 2182.28, 1505.27, 265, 286,  53,      51,      71,      52,    305150.00,     25100.00,       100.00,
11/01/2011 01:12:01,  2181.59, 2182.28, 1506.80, 265, 286,  53,      51,      71,      52,    305190.00,     25100.00,       100.00,
11/01/2011 01:22:01,  2181.59, 2182.28, 1505.80, 265, 286,  53,      51,      71,      52,    305250.00,     25100.00,       100.00,
11/01/2011 01:32:01,  2181.59, 2182.28, 1502.40, 265, 286,  53,      51,      71,      52,    305290.00,     25100.00,       100.00,
11/01/2011 01:42:01,  2181.59, 2182.28, 1499.72, 265, 286,  53,      51,      71,      52,    305340.00,     25100.00,       100.00,
11/01/2011 01:52:01,  2181.59, 2182.28, 1503.23, 265, 286,  53,      51,      71,      52,    305390.00,     25200.00,       100.00,
11/01/2011 02:02:01,  2181.59, 2182.28, 1506.98, 265, 286,  53,      51,      71,      52,    305440.00,     25200.00,       100.00,
