0910050306
Date,Sensor1 (S1),Sensor2 (S2),Level (AI_1),Level (AI_2),Level (AI_3),FlowMeter Total (DI_B),FlowMeter Total (DI_2)
,Tower Conductiv,Tower ORP,WT-5742,WT-5213,RC-416,Bleed Meter,Make Up Meter
,µS,mV,Gallons,Gallons,Gallons,Gallons,Gallons
08/04/2011 14:15:01,   947.41,  217.22,      14,      75,      33,         0.00,     28500.00
08/04/2011 14:25:01,   951.99,  210.73,      14,      75,      33,         0.00,     28500.00
08/04/2011 14:35:01,   957.86,  206.10,      14,      75,      33,         0.00,     28500.00
08/04/2011 14:45:01,   963.40,  203.08,      14,      76,      33,         0.00,     28500.00
08/04/2011 14:55:01,   968.89,  201.10,      14,      75,      33,         0.00,     28500.00
08/04/2011 15:05:01,   973.74,  199.76,      14,      76,      33,         0.00,     28900.00
08/04/2011 15:15:01,   961.60,  206.17,      14,      75,      33,         0.00,     30400.00
08/04/2011 15:25:01,   952.62,  216.08,      14,      76,      33,         0.00,     31900.00
08/04/2011 15:35:01,   944.88,  225.62,      14,      76,      33,         0.00,     32700.00
08/04/2011 15:45:01,   951.52,  219.65,      14,      76,      33,         0.00,     32700.00
08/04/2011 15:55:01,   957.79,  212.80,      14,      76,      33,         0.00,     32700.00
08/04/2011 16:05:01,   962.02,  207.69,      14,      76,      33,         0.00,     32700.00
08/04/2011 16:15:01,   967.13,  204.01,      14,      76,      33,         0.00,     32700.00
08/04/2011 16:25:01,   972.76,  201.65,      14,      75,      33,         0.00,     32700.00
08/04/2011 16:35:01,   979.33,  199.37,      14,      76,      33,       300.00,     32800.00
08/04/2011 16:45:01,   968.56,  205.51,      14,      76,      33,       800.00,     34300.00
08/04/2011 16:55:01,   958.26,  217.34,      14,      76,      33,      1300.00,     35900.00
08/04/2011 17:05:01,   948.44,  228.40,      14,      76,      33,      1600.00,     36700.00
08/04/2011 17:15:01,   954.55,  223.64,      14,      76,      33,      1600.00,     36700.00
08/04/2011 17:25:01,   957.85,  217.22,      14,      76,      33,      1600.00,     36700.00
08/04/2011 17:35:01,   961.10,  211.68,      14,      76,      33,      1600.00,     36700.00
08/04/2011 17:45:01,   964.36,  207.54,      14,      76,      33,      1600.00,     36700.00
08/04/2011 17:55:01,   967.65,  203.86,      14,      76,      33,      1600.00,     36700.00
08/04/2011 18:05:01,   970.94,  201.92,      14,      76,      33,      1600.00,     36700.00
08/04/2011 18:15:01,   974.40,  200.03,      14,      76,      33,      1600.00,     36700.00
08/04/2011 18:25:01,   979.34,  198.26,      14,      76,      33,      2100.00,     36700.00
08/04/2011 18:35:01,   982.66,  197.29,      14,      76,      33,      2600.00,     36700.00
08/04/2011 18:45:01,   984.90,  196.75,      14,      75,      33,      3000.00,     36800.00
08/04/2011 18:55:01,   971.00,  201.74,      14,      75,      33,      3500.00,     38300.00
08/04/2011 19:05:01,   958.95,  213.75,      14,      76,      33,      4000.00,     39800.00
08/04/2011 19:15:01,   945.39,  227.90,      14,      76,      33,      4300.00,     41300.00
08/04/2011 19:25:01,   933.14,  241.10,      14,      76,      33,      4300.00,     42400.00
08/04/2011 19:35:01,   934.89,  240.27,      14,      76,      33,      4300.00,     42400.00
08/04/2011 19:45:01,   936.72,  232.16,      14,      76,      33,      4300.00,     42400.00
08/04/2011 19:55:01,   937.86,  222.86,      14,      76,      33,      4300.00,     42400.00
08/04/2011 20:05:01,   939.78,  213.69,      14,      76,      33,      4300.00,     42400.00
08/04/2011 20:15:01,   941.64,  207.74,      14,      76,      33,      4300.00,     42400.00
08/04/2011 20:25:01,   943.88,  203.59,      14,      76,      33,      4300.00,     42400.00
08/04/2011 20:35:01,   945.53,  200.93,      14,      76,      33,      4300.00,     42400.00
08/04/2011 20:45:01,   948.16,  199.32,      14,      76,      33,      4300.00,     42400.00
08/04/2011 20:55:01,   949.05,  197.36,      14,      76,      33,      4300.00,     42400.00
08/04/2011 21:05:01,   950.46,  196.37,      14,      76,      33,      4300.00,     42400.00
08/04/2011 21:15:01,   951.99,  195.40,      14,      76,      34,      4300.00,     42400.00
08/04/2011 21:25:01,   952.89,  195.23,      14,      76,      33,      4300.00,     42400.00
08/04/2011 21:35:01,   954.85,  194.61,      14,      76,      34,      4300.00,     42400.00
08/04/2011 21:45:01,   955.61,  194.03,      14,      76,      33,      4300.00,     42400.00
08/04/2011 21:55:01,   956.45,  193.89,      14,      75,      33,      4300.00,     42400.00
08/04/2011 22:05:01,   957.50,  193.49,      14,      76,      33,      4300.00,     42400.00
08/04/2011 22:15:01,   958.86,  193.23,      14,      76,      34,      4300.00,     42400.00
08/04/2011 22:25:01,   960.28,  193.19,      14,      76,      33,      4300.00,     42400.00
08/04/2011 22:35:01,   961.69,  193.28,      14,      76,      33,      4300.00,     42400.00
08/04/2011 22:45:01,   963.52,  193.31,      14,      76,      33,      4300.00,     42400.00
08/04/2011 22:55:01,   964.56,  193.26,      14,      76,      33,      4300.00,     42400.00
08/04/2011 23:05:01,   965.68,  193.27,      14,      76,      33,      4300.00,     42400.00
08/04/2011 23:15:01,   966.87,  193.23,      14,      76,      33,      4300.00,     42400.00
08/04/2011 23:25:01,   969.00,  193.16,      14,      76,      34,      4300.00,     42400.00
08/04/2011 23:35:01,   970.32,  193.14,      14,      76,      34,      4300.00,     42400.00
08/04/2011 23:45:02,   971.58,  193.03,      14,      76,      33,      4300.00,     42400.00
08/04/2011 23:55:01,   972.42,  192.95,      14,      76,      33,      4300.00,     42400.00
08/05/2011 00:05:01,   972.79,  193.07,      14,      76,      33,         0.00,       700.00
08/05/2011 00:15:01,   953.74,  202.44,      14,      76,      33,         0.00,      2200.00
08/05/2011 00:25:01,   941.56,  218.88,      14,      76,      33,         0.00,      3600.00
08/05/2011 00:35:01,   939.82,  231.58,      14,      76,      33,         0.00,      3600.00
08/05/2011 00:45:01,   940.98,  229.64,      14,      76,      33,         0.00,      3600.00
08/05/2011 00:55:01,   943.10,  224.44,      14,      76,      33,         0.00,      3600.00
08/05/2011 01:05:01,   944.79,  217.42,      14,      76,      33,         0.00,      3600.00
08/05/2011 01:15:01,   945.86,  211.40,      14,      76,      33,         0.00,      3600.00
08/05/2011 01:25:01,   948.15,  191.93,      14,      76,      33,         0.00,      3600.00
08/05/2011 01:35:01,   950.00,  195.01,      13,      76,      33,         0.00,      3600.00
08/05/2011 01:45:01,   951.45,  195.19,      14,      76,      33,         0.00,      3600.00
08/05/2011 01:55:01,   953.57,  195.02,      14,      76,      33,         0.00,      3600.00
08/05/2011 02:05:01,   954.56,  194.33,      14,      76,      33,         0.00,      3600.00
08/05/2011 02:15:01,   956.74,  193.68,      14,      76,      33,         0.00,      3600.00
08/05/2011 02:25:01,   957.98,  193.23,      14,      76,      33,         0.00,      3600.00
08/05/2011 02:35:01,   959.66,  192.97,      14,      76,      33,         0.00,      3600.00
08/05/2011 02:45:01,   960.68,  192.83,      14,      76,      33,         0.00,      3600.00
08/05/2011 02:55:01,   962.56,  192.51,      13,      76,      33,         0.00,      3600.00
08/05/2011 03:05:01,   964.08,  192.58,      13,      76,      33,         0.00,      3600.00
08/05/2011 03:15:01,   965.46,  192.47,      13,      76,      33,         0.00,      3600.00
08/05/2011 03:25:02,   967.63,  192.53,      13,      76,      33,         0.00,      3600.00
08/05/2011 03:35:01,   969.62,  192.43,      13,      76,      33,         0.00,      3600.00
08/05/2011 03:45:01,   971.16,  192.36,      14,      76,      33,         0.00,      3600.00
08/05/2011 03:55:01,   972.81,  192.22,      13,      76,      34,         0.00,      3600.00
08/05/2011 04:05:01,   974.08,  192.32,      14,      76,      33,         0.00,      3600.00
08/05/2011 04:15:01,   975.34,  192.08,      14,      76,      33,       200.00,      3600.00
08/05/2011 04:25:01,   976.85,  192.11,      14,      76,      33,       700.00,      3600.00
08/05/2011 04:35:01,   978.69,  192.09,      14,      76,      33,      1200.00,      3600.00
08/05/2011 04:45:01,   971.21,  194.12,      14,      76,      33,      1600.00,      4900.00
08/05/2011 04:55:01,   956.00,  208.37,      14,      76,      33,      2100.00,      6400.00
08/05/2011 05:05:01,   943.46,  225.58,      13,      76,      33,      2300.00,      7800.00
08/05/2011 05:15:01,   932.12,  244.06,      13,      76,      33,      2300.00,      8900.00
08/05/2011 05:25:01,   934.97,  249.04,      13,      76,      33,      2300.00,      8900.00
08/05/2011 05:35:01,   937.80,  243.23,      13,      76,      33,      2300.00,      8900.00
08/05/2011 05:45:01,   941.34,  234.68,      13,      76,      33,      2300.00,      8900.00
08/05/2011 05:55:01,   944.83,  224.24,      13,      76,      33,      2300.00,      8900.00
08/05/2011 06:05:01,   947.47,  215.24,      13,      76,      33,      2300.00,      8900.00
08/05/2011 06:15:01,   950.79,  208.50,      13,      76,      33,      2300.00,      8900.00
08/05/2011 06:25:01,   953.76,  203.84,      13,      76,      33,      2300.00,      8900.00
08/05/2011 06:35:01,   958.29,  200.51,      13,      76,      33,      2300.00,      8900.00
08/05/2011 06:45:02,   962.79,  198.08,      13,      76,      33,      2300.00,      8900.00
08/05/2011 06:55:01,   966.08,  195.39,      13,      76,      33,      2300.00,      8900.00
08/05/2011 07:05:01,   969.74,  194.11,      13,      76,      33,      2300.00,      8900.00
08/05/2011 07:15:01,   973.37,  193.08,      13,      76,      33,      2300.00,      8900.00
08/05/2011 07:25:01,   967.97,  194.03,      13,      76,      33,      2700.00,      9900.00
08/05/2011 07:35:01,   956.06,  207.21,      13,      76,      33,      3100.00,     11500.00
08/05/2011 07:45:01,   945.77,  218.77,      13,      76,      33,      3400.00,     13000.00
08/05/2011 07:55:01,   935.21,  226.92,      13,      76,      33,      3400.00,     14500.00
08/05/2011 08:05:01,   923.95,  235.62,      13,      76,      33,      3600.00,     16100.00
08/05/2011 08:15:01,   925.40,  236.97,      13,      76,      33,      3600.00,     16300.00
08/05/2011 08:25:01,   928.37,  224.37,      13,      75,      33,      3600.00,     16300.00
08/05/2011 08:35:01,   933.19,  212.48,      13,      76,      33,      3600.00,     16300.00
08/05/2011 08:45:01,   937.75,  204.70,      13,      76,      33,      3600.00,     16300.00
08/05/2011 08:55:01,   941.50,  201.12,      12,      76,      33,      3600.00,     16300.00
08/05/2011 09:05:01,   946.08,  199.41,      12,      76,      33,      3600.00,     16300.00
08/05/2011 09:15:01,   949.90,  197.99,      13,      76,      33,      3600.00,     16300.00
08/05/2011 09:25:01,   954.59,  197.08,      13,      76,      33,      3600.00,     16300.00
08/05/2011 09:35:01,   958.62,  196.16,      13,      76,      33,      3600.00,     16300.00
08/05/2011 09:45:01,   951.11,  199.98,      13,      76,      33,      3600.00,     17600.00
08/05/2011 09:55:01,   941.42,  210.95,      13,      76,      33,      3600.00,     19200.00
08/05/2011 10:05:02,   930.14,  224.11,      13,      76,      33,      3600.00,     20600.00
08/05/2011 10:15:01,   933.97,  225.75,      13,      76,      33,      3600.00,     20600.00
08/05/2011 10:25:01,   938.77,  218.10,      13,      76,      33,      3600.00,     20600.00
08/05/2011 10:35:01,   944.21,  210.58,      13,      76,      33,      3600.00,     20600.00
08/05/2011 10:45:01,   948.72,  205.06,      13,      76,      33,      3600.00,     20600.00
08/05/2011 10:55:01,   953.86,  201.34,      13,      76,      33,      3600.00,     20600.00
08/05/2011 11:05:01,   958.77,  199.51,      13,      76,      33,      3600.00,     20600.00
08/05/2011 11:15:01,   963.97,  197.19,      13,      76,      33,      3600.00,     20600.00
08/05/2011 11:25:01,   969.31,  196.30,      12,      76,      33,      3600.00,     20600.00
08/05/2011 11:35:01,   966.23,  197.48,      12,      76,      33,      3600.00,     21700.00
08/05/2011 11:45:01,   954.72,  207.30,      12,      76,      33,      3600.00,     23200.00
08/05/2011 11:55:01,   944.50,  218.74,      12,      76,      33,      3600.00,     24800.00
08/05/2011 12:05:01,   941.94,  225.52,      12,      76,      33,      3600.00,     25300.00
08/05/2011 12:15:01,   947.96,  217.90,      12,      76,      33,      3600.00,     25300.00
08/05/2011 12:25:01,   953.55,  210.29,      12,      76,      33,      3600.00,     25300.00
08/05/2011 12:35:01,   959.24,  204.36,      12,      75,      33,      3600.00,     25300.00
08/05/2011 12:45:01,   965.00,  200.39,      12,      75,      33,      3600.00,     25300.00
08/05/2011 12:55:01,   969.32,  198.24,      12,      75,      33,      3600.00,     25300.00
08/05/2011 13:05:01,   975.76,  196.99,      12,      76,      33,      3600.00,     25300.00
08/05/2011 13:15:01,   971.28,  199.20,      12,      76,      33,      4100.00,     26300.00
08/05/2011 13:25:01,   961.19,  210.35,      12,      76,      33,      4600.00,     27900.00
08/05/2011 13:35:01,   952.08,  221.13,      12,      76,      33,      5100.00,     29400.00
