 0910050301,,,,,,,,,,,,,,,
Date,Sensor1 (S1),Sensor2 (S2),Sensor3 (S3),Sensor4 (S4),Sensor Temperature1 (S1),Sensor Temperature2 (S2),Sensor Temperature3 (S3),Level(AI_1),Level(AI_2),Level(AI_3),Paddlewheel FlowMeter Rate(DI_6),Contact FlowMeter Total(DI_1),Contact FlowMeter Total(DI_2),Contact FlowMeter Total(DI_3),Paddlewheel FlowMeter Total(DI_6)
,Blr1 TDS,Blr2 TDS,Blr3 TDS,Sensor4,Blr1 TDS,Blr2 TDS,Blr3 TDS,PP3060M,WT3459,CQ3535,Boiler MU,CQ-3535,WT-3459,PP-3060M,Boiler MU
,µS,µS,µS,,F,F,F,Gallons,Gallons,Gallons,GPM,Gallons,Gallons,Gallons,Gallons
10/30/2011 9:54,1966.81,1985.15,34.22,     N/A,330,331,150,79,56,56,4.65,0.01,0.14,0.04,3644.06
10/30/2011 10:14,1951.54,1975.65,34.22,     N/A,333,330,150,79,56,56,30.97,0.01,0.15,0.04,3698.25
10/30/2011 10:34,1949.59,1975.65,34.22,     N/A,333,330,150,79,55,56,0,0.01,0.15,0.04,3724.64
10/30/2011 10:54,1949.59,1975.65,34.22,     N/A,333,330,150,79,56,56,0,0.01,0.15,0.04,3752.88
10/30/2011 11:14,1949.59,2008.89,34.22,     N/A,333,333,150,79,56,56,0,0.01,0.15,0.04,3786.52
10/30/2011 11:34,1940.74,1962.66,34.22,     N/A,335,335,150,79,56,56,0,0.01,0.15,0.04,3844.27
10/30/2011 11:54,1940.74,1962.66,34.22,     N/A,335,335,150,79,55,56,0,0.01,0.15,0.04,3871.7
10/30/2011 12:14,1940.74,1962.66,34.22,     N/A,335,335,150,79,56,56,0,0.01,0.15,0.04,3905.76
10/30/2011 12:34,1947.63,1958.75,34.22,     N/A,332,334,150,79,56,56,0,0.01,0.16,0.04,3961.36
10/30/2011 12:54,1947.63,1958.75,34.22,     N/A,332,334,150,79,56,56,5.39,0.01,0.16,0.04,3988.75
10/30/2011 13:14,1947.63,1958.75,34.22,     N/A,332,334,150,79,56,56,0,0.01,0.16,0.05,4020.59
10/30/2011 13:34,1941.77,1958.52,34.22,     N/A,330,333,150,79,55,56,0,0.01,0.16,0.05,4082.68
10/30/2011 13:54,1941.77,1958.52,34.22,     N/A,330,333,150,80,56,56,0,0.01,0.16,0.05,4100.47
10/30/2011 14:14,1941.77,1958.52,31.01,     N/A,330,333,151,79,56,56,3.8,0.01,0.16,0.05,4135.76
10/30/2011 14:34,1931.99,1953.87,31.01,     N/A,331,330,151,79,56,56,0,0.01,0.16,0.05,4198.03
10/30/2011 14:54,1931.99,1953.87,31.01,     N/A,331,330,151,79,56,56,0,0.01,0.16,0.05,4217.35
10/30/2011 15:14,1931.99,1953.87,31.01,     N/A,331,330,151,79,56,56,0,0.01,0.17,0.05,4250.72
10/30/2011 15:34,2092.85,1933.53,31.01,     N/A,307,335,151,79,55,56,0,0.01,0.17,0.05,4303.24
10/30/2011 15:54,1914.58,1933.91,31.01,     N/A,334,335,151,79,56,56,0,0.01,0.17,0.05,4379.81
10/30/2011 16:14,1914.58,1933.91,31.01,     N/A,334,335,151,79,55,56,0,0.01,0.17,0.05,4398.26
10/30/2011 16:34,1914.58,1933.91,31.01,     N/A,334,335,151,79,56,56,0,0.01,0.17,0.05,4436.19
10/30/2011 16:54,1912.77,1915.69,31.01,     N/A,331,333,151,79,56,56,0,0.01,0.18,0.05,4481.77
10/30/2011 17:14,1912.77,1915.69,31.01,     N/A,331,333,151,79,56,56,0,0.01,0.18,0.05,4515.71
10/30/2011 17:34,1912.77,1915.69,31.01,     N/A,331,333,151,79,56,56,19.34,0.01,0.18,0.05,4552.04
10/30/2011 17:54,1914.48,1905.67,31.01,     N/A,329,331,151,79,56,56,0,0.01,0.18,0.05,4602.03
10/30/2011 18:14,1914.48,1905.67,31.01,     N/A,329,331,151,79,55,56,10.04,0.01,0.18,0.05,4630.25
10/30/2011 18:34,1914.48,1905.67,31.01,     N/A,329,331,151,79,55,56,0,0.01,0.18,0.05,4664.18
10/30/2011 18:54,1894.96,1909.64,31.01,     N/A,332,330,151,79,56,56,0,0.01,0.18,0.05,4719.38
10/30/2011 19:14,1894.96,1909.64,26.28,     N/A,332,330,155,79,55,56,8.45,0.01,0.18,0.05,4746.61
10/30/2011 19:34,1894.96,1909.64,26.28,     N/A,332,330,155,79,55,56,0,0.01,0.19,0.05,4781.45
10/30/2011 19:54,1899.63,1886.05,26.28,     N/A,337,335,155,79,55,56,0,0.01,0.19,0.05,4835.41
10/30/2011 20:14,1888.72,1886.05,26.28,     N/A,334,335,155,79,55,56,0,0.01,0.19,0.05,4863.7
10/30/2011 20:34,1888.72,1886.05,26.28,     N/A,334,335,155,79,55,56,10.04,0.01,0.19,0.05,4891.13
10/30/2011 20:54,1888.72,1987.17,26.28,     N/A,334,312,155,79,55,55,27.91,0.01,0.19,0.06,4930.45
10/30/2011 21:14,1892.13,1987.17,26.28,     N/A,334,312,155,79,55,56,10.78,0.01,0.19,0.06,4972.39
10/30/2011 21:34,1892.13,1987.17,26.28,     N/A,334,312,155,79,55,55,0,0.01,0.19,0.06,5001.19
10/30/2011 21:54,1892.13,2659.92,26.28,     N/A,334,232,155,79,55,56,0,0.01,0.2,0.06,5030.67
10/30/2011 22:14,1890.18,1987.3,26.28,     N/A,332,311,155,79,55,55,0,0.01,0.2,0.06,5078.89
10/30/2011 22:34,1890.18,1987.3,26.28,     N/A,332,311,155,79,55,56,0,0.01,0.2,0.06,5110.95
10/30/2011 22:54,1890.18,1987.3,26.28,     N/A,332,311,155,79,55,56,0,0.01,0.2,0.06,5146.09
10/30/2011 23:14,1877.54,1981.09,26.28,     N/A,329,310,155,79,55,56,0,0.01,0.2,0.06,5192.97
10/30/2011 23:34,1877.54,1981.09,26.28,     N/A,329,310,155,79,55,55,17.02,0.01,0.2,0.06,5215.88
10/30/2011 23:54,1877.54,1981.09,26.28,     N/A,329,310,155,79,55,56,11.63,0.01,0.2,0.06,5249.85
10/31/2011 0:14,1872.69,1991.75,34.36,     N/A,331,310,139,79,55,56,0,0,0,0,33.82
10/31/2011 0:34,1872.69,1991.75,34.36,     N/A,331,310,139,79,55,55,0,0,0,0,56.09
10/31/2011 0:54,1872.69,1991.75,34.36,     N/A,331,310,139,79,55,56,0,0,0,0,85.56
10/31/2011 1:14,2141.14,1992.21,34.36,     N/A,284,310,139,79,55,56,0,0,0.01,0,123.28
10/31/2011 1:34,1864.26,1992.21,34.36,     N/A,334,310,139,79,55,56,0,0,0.01,0,170.15
10/31/2011 1:54,1864.26,1992.21,34.36,     N/A,334,310,139,79,55,55,9.3,0,0.01,0,194.46
10/31/2011 2:14,1864.26,1993.88,34.36,     N/A,334,310,139,79,55,56,10.04,0,0.01,0,232.11
10/31/2011 2:34,1871.19,1993.88,34.36,     N/A,333,310,139,79,55,56,0,0,0.01,0,276.82
10/31/2011 2:54,1871.19,1993.88,34.36,     N/A,333,310,139,79,55,56,0,0,0.01,0,308.64
